City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
519,Cancun,21.1743,-86.8466,75.13,94,75,0.0,MX,2022-08-11 12:27:00,broken clouds
520,Krasnoye,49.9145,24.6134,73.15,44,60,8.55,UA,2022-08-11 12:30:10,broken clouds
521,Quatre Cocos,-20.2078,57.7625,73.51,65,84,19.8,MU,2022-08-11 12:30:10,broken clouds
522,Swan Hill,-35.3378,143.5544,46.67,95,1,11.65,AU,2022-08-11 12:30:11,clear sky
523,San Andres,12.5847,-81.7006,82.42,83,40,8.05,CO,2022-08-11 12:27:00,scattered clouds
524,Molteno,-31.3968,26.3625,65.53,18,25,21.99,ZA,2022-08-11 12:30:12,scattered clouds
525,Kyshtovka,56.555,76.6271,73.08,68,8,6.6,RU,2022-08-11 12:30:12,clear sky
526,Wajid,3.8093,43.2471,82.83,49,99,22.3,SO,2022-08-11 12:30:13,overcast clouds
527,Manjacaze,-24.7117,33.8828,85.12,33,2,4.36,MZ,2022-08-11 12:30:13,clear sky
528,Immokalee,26.4187,-81.4173,80.55,94,0,0.0,US,2022-08-11 12:26:15,clear sky
529,Filadelfia,39.9523,-75.1638,75.61,94,75,6.91,US,2022-08-11 12:29:04,broken clouds
530,Kedrovyy,56.1667,91.8167,73.87,74,41,4.94,RU,2022-08-11 12:30:14,scattered clouds
531,Lazaro Cardenas,17.9583,-102.2,77.31,84,100,4.7,MX,2022-08-11 12:30:15,overcast clouds
532,Mitsamiouli,-11.3847,43.2844,84.49,61,40,6.91,KM,2022-08-11 12:30:15,scattered clouds
533,Norsup,-16.0667,167.3833,72.25,73,48,13.44,VU,2022-08-11 12:30:16,scattered clouds
534,Iralaya,15.0,-83.2333,81.12,82,13,11.83,HN,2022-08-11 12:30:17,few clouds
535,Kargil,34.5667,76.1,73.65,28,100,8.95,IN,2022-08-11 12:30:17,overcast clouds
536,Humaita,-7.5061,-63.0208,78.57,49,23,4.36,BR,2022-08-11 12:30:17,few clouds
537,Labuhan,-6.8844,112.2051,81.73,76,29,10.0,ID,2022-08-11 12:30:18,scattered clouds
538,Udachnyy,66.4167,112.4,50.45,100,100,15.21,RU,2022-08-11 12:30:18,light rain
539,Ullapool,57.8987,-5.1604,60.35,67,88,7.81,GB,2022-08-11 12:30:21,overcast clouds
540,Muisne,0.6,-80.0333,73.33,86,100,12.88,EC,2022-08-11 12:30:21,overcast clouds
541,Dargaville,-35.9333,173.8833,45.3,85,6,2.98,NZ,2022-08-11 12:30:22,clear sky
542,Kemin,42.7846,75.6892,72.59,51,89,7.38,KG,2022-08-11 12:30:22,overcast clouds
543,Coihaique,-45.5752,-72.0662,38.01,87,75,0.0,CL,2022-08-11 12:30:22,broken clouds
544,Rybachiy,48.7073,44.7449,98.46,12,20,13.27,RU,2022-08-11 12:30:23,few clouds
545,Alamogordo,32.8995,-105.9603,73.0,70,0,5.75,US,2022-08-11 12:30:23,clear sky
546,Kirensk,57.7853,108.1119,60.01,65,34,1.3,RU,2022-08-11 12:30:24,scattered clouds
547,Bend,44.0582,-121.3153,55.6,86,0,5.99,US,2022-08-11 12:30:23,clear sky
548,Yulara,-25.2406,130.9889,52.18,33,0,12.3,AU,2022-08-11 12:30:24,clear sky
549,Kaniama,-7.5667,24.1833,93.09,10,18,6.04,CD,2022-08-11 12:30:24,few clouds
550,Mirnyy,62.5353,113.9611,64.24,72,100,7.0,RU,2022-08-11 12:30:25,overcast clouds
551,Northfield,44.4583,-93.1616,66.15,85,0,1.99,US,2022-08-11 12:27:23,clear sky
552,Aromashevo,56.8602,68.6375,77.04,55,7,2.44,RU,2022-08-11 12:30:25,clear sky
553,Tual,-5.6667,132.75,80.28,81,90,12.08,ID,2022-08-11 12:31:26,overcast clouds
554,Yumen,40.2833,97.2,88.25,34,33,15.21,CN,2022-08-11 12:31:26,scattered clouds
555,Altay,47.8667,88.1167,77.23,27,0,7.16,CN,2022-08-11 12:31:26,clear sky
556,Gold Coast,-28.0,153.4333,62.01,95,100,6.91,AU,2022-08-11 12:31:27,overcast clouds
557,San Rafael,-34.6177,-68.3301,51.69,40,0,2.8,AR,2022-08-11 12:31:27,clear sky
558,Rocha,-34.4833,-54.3333,54.34,79,0,5.1,UY,2022-08-11 12:31:27,clear sky
559,Saint-Denis,48.9167,2.3333,91.29,26,0,13.8,FR,2022-08-11 12:31:28,clear sky
560,San Patricio,28.017,-97.5169,82.89,79,97,5.26,US,2022-08-11 12:31:28,overcast clouds
561,Verkhnetulomskiy,68.6073,31.7962,62.73,62,61,10.87,RU,2022-08-11 12:31:28,broken clouds
562,Merauke,-8.4667,140.3333,76.5,82,100,15.84,ID,2022-08-11 12:31:29,overcast clouds
563,Saint Simons,31.1352,-81.3901,80.64,87,0,6.91,US,2022-08-11 12:31:29,clear sky
564,Laibin,23.7,109.2667,77.97,89,100,3.04,CN,2022-08-11 12:31:29,overcast clouds
565,Champerico,14.3,-91.9167,73.94,77,95,3.8,GT,2022-08-11 12:31:30,overcast clouds
566,Zhangye,38.9342,100.4517,89.04,40,58,4.68,CN,2022-08-11 12:31:30,broken clouds
567,Vanavara,60.34,102.2797,57.2,96,99,4.14,RU,2022-08-11 12:31:31,light rain
568,Morondava,-20.2833,44.2833,77.22,65,0,13.15,MG,2022-08-11 12:31:31,clear sky
569,Neryungri,56.6709,124.6491,51.75,97,100,4.14,RU,2022-08-11 12:31:31,overcast clouds
570,Caravelas,-17.7125,-39.2481,82.54,41,96,4.54,BR,2022-08-11 12:31:32,overcast clouds
571,Nhulunbuy,-12.2333,136.7667,75.81,73,40,6.91,AU,2022-08-11 12:31:32,scattered clouds
572,Teguise,29.0605,-13.564,77.22,54,20,16.11,ES,2022-08-11 12:31:32,few clouds
573,Shepsi,44.0361,39.1489,81.9,68,8,11.72,RU,2022-08-11 12:31:33,clear sky
574,Moses Lake,47.1301,-119.2781,66.88,72,0,3.44,US,2022-08-11 12:31:33,clear sky
575,Salta,-24.7859,-65.4117,45.57,76,0,3.44,AR,2022-08-11 12:31:33,clear sky
576,Zatyshshya,47.3335,29.8733,81.09,43,100,11.07,UA,2022-08-11 12:31:34,overcast clouds
577,Hualmay,-11.0964,-77.6139,61.81,82,57,5.28,PE,2022-08-11 12:31:34,broken clouds
578,Am Timan,11.0297,20.2827,77.4,77,96,6.29,TD,2022-08-11 12:31:34,overcast clouds
579,Aketi,2.7388,23.7833,91.87,40,100,4.34,CD,2022-08-11 12:31:35,overcast clouds
580,Labytnangi,66.6572,66.4183,55.53,82,100,5.77,RU,2022-08-11 12:31:35,overcast clouds
581,Scarborough,54.2797,-0.4044,83.77,66,2,3.0,GB,2022-08-11 12:27:40,clear sky
582,Kadoma,34.7333,135.5833,87.6,69,75,9.22,JP,2022-08-11 12:31:35,broken clouds
583,Effium,6.6292,8.0593,73.74,96,100,4.65,NG,2022-08-11 12:31:36,heavy intensity rain
584,Dromolaxia,34.8761,33.586,99.64,58,20,20.71,CY,2022-08-11 12:31:36,few clouds
585,Rio Pardo De Minas,-15.6097,-42.5397,82.44,33,73,3.49,BR,2022-08-11 12:31:36,broken clouds
586,Saint-Louis,16.3333,-15.0,91.04,40,45,10.67,SN,2022-08-11 12:31:37,scattered clouds
587,Saint Anthony,45.0205,-93.218,66.92,77,0,5.75,US,2022-08-11 12:31:37,clear sky
588,Palmer,42.1584,-72.3287,71.85,91,75,0.0,US,2022-08-11 12:31:37,smoke
589,Bolobo,-2.1667,16.2333,93.02,30,95,3.91,CD,2022-08-11 12:31:38,overcast clouds
590,Santa Isabel Do Rio Negro,-0.4139,-65.0192,80.04,77,30,2.62,BR,2022-08-11 12:31:38,scattered clouds
591,Yartsevo,55.0667,32.6964,74.59,39,0,5.57,RU,2022-08-11 12:31:38,clear sky
592,Bowen,-20.0167,148.2333,68.22,73,100,14.67,AU,2022-08-11 12:31:39,overcast clouds
593,Punta Cardon,11.6581,-70.215,81.86,70,42,13.89,VE,2022-08-11 12:31:39,scattered clouds
594,Deputatskiy,69.3,139.9,51.03,87,100,3.89,RU,2022-08-11 12:31:40,overcast clouds
595,Sheltozero,61.3667,35.3667,70.34,51,100,16.67,RU,2022-08-11 12:31:40,overcast clouds
596,Sambava,-14.2667,50.1667,73.89,68,2,17.36,MG,2022-08-11 12:31:40,clear sky
597,Conde,-7.2597,-34.9075,76.46,88,75,6.91,BR,2022-08-11 12:31:41,broken clouds
598,Ahipara,-35.1667,173.1667,48.43,82,8,7.47,NZ,2022-08-11 12:31:41,clear sky
599,Talaya,61.3833,152.75,54.63,85,100,7.34,RU,2022-08-11 12:31:41,overcast clouds
600,Liverpool,53.4106,-2.9779,89.74,46,0,3.44,GB,2022-08-11 12:28:12,clear sky
601,Yar-Sale,66.8333,70.8333,60.13,62,100,10.0,RU,2022-08-11 12:31:41,overcast clouds
602,Kaeo,-35.1,173.7833,41.32,92,9,6.17,NZ,2022-08-11 12:32:42,clear sky
603,Dingle,10.9995,122.6711,77.31,88,62,1.81,PH,2022-08-11 12:32:42,moderate rain
604,Leshukonskoye,64.8989,45.7622,72.88,47,100,11.92,RU,2022-08-11 12:32:43,overcast clouds
605,Kaohsiung,22.6163,120.3133,80.04,93,75,8.05,TW,2022-08-11 12:32:43,shower rain
606,Naze,28.3667,129.4833,77.92,75,100,1.45,JP,2022-08-11 12:32:43,overcast clouds
607,Berlevag,70.8578,29.0864,58.95,67,75,23.02,NO,2022-08-11 12:32:44,broken clouds
608,Valdivia,-39.8142,-73.2459,41.09,91,97,1.7,CL,2022-08-11 12:31:22,overcast clouds
609,Nenjiang,49.1833,125.2167,57.33,87,15,3.94,CN,2022-08-11 12:32:44,few clouds
610,Kudahuvadhoo,2.6708,72.8944,82.67,72,12,4.72,MV,2022-08-11 12:32:45,few clouds
611,Gallup,35.5281,-108.7426,57.96,88,75,3.44,US,2022-08-11 12:32:45,broken clouds
612,Lahaina,20.8783,-156.6825,78.8,82,44,11.48,US,2022-08-11 12:29:57,scattered clouds
613,Cherusti,55.5498,40.0107,76.53,34,0,4.34,RU,2022-08-11 12:32:45,clear sky
614,Carutapera,-1.195,-46.02,82.2,70,88,8.25,BR,2022-08-11 12:27:47,overcast clouds
615,Kalevala,65.2,31.1667,65.97,72,94,14.43,RU,2022-08-11 12:32:46,overcast clouds
616,Kemi,65.8596,24.8228,65.97,59,0,13.8,FI,2022-08-11 12:32:46,clear sky
617,Meulaboh,4.1363,96.1285,79.75,77,99,2.39,ID,2022-08-11 12:32:47,overcast clouds
618,Roma,43.2128,-75.4557,69.82,91,0,5.75,US,2022-08-11 12:32:47,clear sky
619,Molchanovo,57.5817,83.7692,66.38,62,0,7.76,RU,2022-08-11 12:32:48,clear sky
620,Vysotsk,60.6288,28.5705,72.14,65,96,18.75,RU,2022-08-11 12:32:48,overcast clouds
621,Ayagoz,47.9714,80.4392,80.26,23,5,15.35,KZ,2022-08-11 12:32:48,clear sky
622,Banff,51.1762,-115.5698,64.76,87,24,4.38,CA,2022-08-11 12:32:49,few clouds
623,Mantua,45.1667,10.7833,90.34,37,96,1.99,IT,2022-08-11 12:32:49,overcast clouds
624,Sorochinsk,52.4338,53.1583,87.94,32,92,11.97,RU,2022-08-11 12:32:49,overcast clouds
625,Portland,45.5234,-122.6762,60.94,91,0,3.44,US,2022-08-11 12:30:42,clear sky
626,Kloulklubed,7.0419,134.2556,77.5,67,100,1.77,PW,2022-08-11 12:32:50,overcast clouds
627,Alyangula,-13.8483,136.4192,71.13,86,15,9.24,AU,2022-08-11 12:32:50,few clouds
628,Kununurra,-15.7667,128.7333,67.98,64,7,0.0,AU,2022-08-11 12:32:51,clear sky
629,Baykit,61.67,96.37,58.19,57,39,6.58,RU,2022-08-11 12:32:18,scattered clouds
630,Ahuimanu,21.4447,-157.8378,78.51,78,75,16.11,US,2022-08-11 12:32:51,broken clouds
631,Loikaw,19.6742,97.2094,70.63,93,100,4.94,MM,2022-08-11 12:32:51,overcast clouds
632,Sur,22.5667,59.5289,92.95,56,80,3.15,OM,2022-08-11 12:32:52,broken clouds
633,Namtsy,62.7161,129.6658,63.41,79,100,5.08,RU,2022-08-11 12:32:52,overcast clouds
634,Dwarka,22.2394,68.9678,84.6,81,100,9.55,IN,2022-08-11 12:32:53,moderate rain
635,Haines Junction,60.7522,-137.5108,45.97,95,100,0.96,CA,2022-08-11 12:32:53,overcast clouds
636,Waipawa,-41.4122,175.5153,40.08,86,100,1.5,NZ,2022-08-11 12:32:53,overcast clouds
637,Joshimath,30.5667,79.5667,72.54,84,54,0.85,IN,2022-08-11 12:32:54,broken clouds
638,Aitape,-3.1374,142.3475,78.17,85,100,2.15,PG,2022-08-11 12:32:54,overcast clouds
639,Kimberley,-28.7323,24.7623,80.29,12,0,6.91,ZA,2022-08-11 12:32:55,clear sky
640,Latehar,23.75,84.5,76.62,88,23,6.53,IN,2022-08-11 12:32:55,few clouds
641,Old Town,50.087,14.4202,80.53,41,0,9.22,CZ,2022-08-11 12:32:56,clear sky
642,Yuli,9.6989,10.2744,73.94,87,100,2.95,NG,2022-08-11 12:32:56,overcast clouds
643,Batagay-Alyta,67.8006,130.4114,56.28,75,100,12.12,RU,2022-08-11 12:32:56,overcast clouds
644,Dongsheng,39.8161,109.9776,78.64,52,0,7.78,CN,2022-08-11 12:32:57,clear sky
645,Buala,-8.145,159.5921,79.32,82,52,4.09,SB,2022-08-11 12:32:57,light rain
646,Amapa,1.0,-52.0,85.82,56,15,1.54,BR,2022-08-11 12:33:57,few clouds
647,Athabasca,54.7169,-113.2854,60.13,86,4,3.15,CA,2022-08-11 12:33:58,clear sky
648,Gimli,50.6336,-96.9907,58.03,68,90,5.5,CA,2022-08-11 12:33:58,overcast clouds
649,Kismayo,-0.3582,42.5454,78.31,68,37,18.43,SO,2022-08-11 12:33:58,scattered clouds
650,Kaduna,10.5222,7.4383,68.49,94,100,2.64,NG,2022-08-11 12:33:59,moderate rain
651,Ohrid,41.1172,20.8019,82.29,34,40,3.44,MK,2022-08-11 12:33:59,scattered clouds
652,Faya,18.3851,42.4509,89.71,46,99,6.49,SA,2022-08-11 12:33:59,overcast clouds
653,Hailey,43.5196,-114.3153,64.89,70,0,11.01,US,2022-08-11 12:32:18,clear sky
654,Teahupoo,-17.8333,-149.2667,67.96,75,2,11.25,PF,2022-08-11 12:34:00,clear sky
655,Harnosand,62.6323,17.9379,71.62,55,100,9.17,SE,2022-08-11 12:34:00,overcast clouds
656,Noumea,-22.2763,166.4572,71.01,99,100,11.01,NC,2022-08-11 12:34:00,overcast clouds
657,Xining,36.6167,101.7667,73.15,74,91,4.74,CN,2022-08-11 12:29:52,overcast clouds
658,Si Satchanalai,17.5169,99.7598,78.24,89,100,0.85,TH,2022-08-11 12:34:01,light rain
659,Killybegs,54.6333,-8.45,65.91,57,0,5.08,IE,2022-08-11 12:34:01,clear sky
660,Alta Floresta,-9.8756,-56.0861,69.62,52,0,5.75,BR,2022-08-11 12:34:02,clear sky
661,Planeta Rica,8.4147,-75.5883,78.04,89,81,3.27,CO,2022-08-11 12:34:02,broken clouds
662,Qianan,44.9932,124.0581,69.76,60,100,2.06,CN,2022-08-11 12:34:02,overcast clouds
663,Monrovia,6.3005,-10.7969,78.57,78,92,14.32,LR,2022-08-11 12:34:03,light rain
664,Dabat,12.9842,37.765,55.87,89,100,2.89,ET,2022-08-11 12:34:03,light rain
665,Mogoytuy,51.2833,114.9167,60.15,63,11,1.79,RU,2022-08-11 12:34:04,few clouds
666,Naustdal,61.509,5.7168,62.13,92,100,3.98,NO,2022-08-11 12:34:04,light rain
667,Ha Tinh,18.3333,105.9,79.34,89,100,2.59,VN,2022-08-11 12:34:04,overcast clouds
668,Santa Cruz De Tenerife,28.4682,-16.2546,78.4,64,20,17.27,ES,2022-08-11 12:34:05,few clouds
669,Codrington,-38.2667,141.9667,47.03,66,100,6.53,AU,2022-08-11 12:34:05,overcast clouds
670,Lebork,54.5392,17.7501,80.44,34,26,5.88,PL,2022-08-11 12:34:05,scattered clouds
671,Boa Vista,2.8197,-60.6733,80.58,78,40,2.3,BR,2022-08-11 12:32:27,scattered clouds
