City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Calamar,CO,78.91,overcast clouds,10.2511,-74.9146,Hostal Katyalex
477,Teruel,ES,84.72,clear sky,40.6667,-0.6667,La Parra
478,Abha,SA,89.42,scattered clouds,18.2164,42.5053,Abha Hotel
481,Bubaque,GW,82.0,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
482,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
485,Marzuq,YE,86.32,overcast clouds,14.4,46.4667,
487,Tura,IN,79.12,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
488,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
489,Remanso,BR,80.4,clear sky,-9.6179,-42.0831,Hotel Mangueira
490,Keti Bandar,PK,80.51,overcast clouds,24.1447,67.4497,Haji laloo memon house
491,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
493,Robertsport,LR,77.74,light rain,6.7533,-11.3686,Kwepunha Retreat
497,Mahuva,IN,81.21,light rain,21.0914,71.7622,Hotel Blue Diamond.
499,Dovolnoye,RU,83.59,scattered clouds,54.4958,79.6671,Gostinitsa
502,Omboue,GA,79.92,overcast clouds,-1.5746,9.2618,Hotel Olako
503,Northam,GB,87.26,clear sky,51.0333,-4.2167,Durrant House Hotel
506,Medeiros Neto,BR,81.19,overcast clouds,-17.3739,-40.2206,Pousada & Restaurante Visgueira
507,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
508,Sorong,ID,79.66,broken clouds,-0.8833,131.25,Waigo Splash Hotel
509,Aransas Pass,US,83.01,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
511,Torquay,GB,89.2,clear sky,50.4638,-3.5143,The Grand Hotel
513,Razdolnaya,RU,87.58,overcast clouds,45.3799,39.5557,
514,Temryuk,RU,84.42,overcast clouds,45.2722,37.3811,Nemetskaya Sloboda
515,Oriximina,BR,87.1,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
516,Mae Hong Son,TH,84.34,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
519,Cancun,MX,75.13,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
523,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
526,Wajid,SO,82.83,overcast clouds,3.8093,43.2471,xamdihotelresturant114
527,Manjacaze,MZ,85.12,clear sky,-24.7117,33.8828,Hotel Gani
528,Immokalee,US,80.55,clear sky,26.4187,-81.4173,Seminole Casino Hotel Immokalee
529,Filadelfia,US,75.61,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
531,Lazaro Cardenas,MX,77.31,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
532,Mitsamiouli,KM,84.49,scattered clouds,-11.3847,43.2844,Foyer ADM
534,Iralaya,HN,81.12,few clouds,15.0,-83.2333,Iglesia morava renovada
536,Humaita,BR,78.57,few clouds,-7.5061,-63.0208,Corrêa Hotel
537,Labuhan,ID,81.73,scattered clouds,-6.8844,112.2051,DoubleFAG
552,Aromashevo,RU,77.04,clear sky,56.8602,68.6375,Gostinitsa
553,Tual,ID,80.28,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
554,Yumen,CN,88.25,scattered clouds,40.2833,97.2,
555,Altay,CN,77.23,clear sky,47.8667,88.1167,Jinqiao Hotel
560,San Patricio,US,82.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
562,Merauke,ID,76.5,overcast clouds,-8.4667,140.3333,
563,Saint Simons,US,80.64,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
564,Laibin,CN,77.97,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
566,Zhangye,CN,89.04,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
568,Morondava,MG,77.22,clear sky,-20.2833,44.2833,La Case Bambou
570,Caravelas,BR,82.54,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
571,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
572,Teguise,ES,77.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
573,Shepsi,RU,81.9,clear sky,44.0361,39.1489,Otel' Chayka
576,Zatyshshya,UA,81.09,overcast clouds,47.3335,29.8733,
578,Am Timan,TD,77.4,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
581,Scarborough,GB,83.77,clear sky,54.2797,-0.4044,The Grand Hotel Scarborough
582,Kadoma,JP,87.6,broken clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
585,Rio Pardo De Minas,BR,82.44,broken clouds,-15.6097,-42.5397,Hotel Oásis Cidade Alta
590,Santa Isabel Do Rio Negro,BR,80.04,scattered clouds,-0.4139,-65.0192,Hotel GSA
593,Punta Cardon,VE,81.86,scattered clouds,11.6581,-70.215,Bambuda hotel
597,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
600,Liverpool,GB,89.74,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
603,Dingle,PH,77.31,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
605,Kaohsiung,TW,80.04,shower rain,22.6163,120.3133,御宿商旅-中山館
606,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
610,Kudahuvadhoo,MV,82.67,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
612,Lahaina,US,78.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
613,Cherusti,RU,76.53,clear sky,55.5498,40.0107,
614,Carutapera,BR,82.2,overcast clouds,-1.195,-46.02,Lidera
617,Meulaboh,ID,79.75,overcast clouds,4.1363,96.1285,Kost Pria
621,Ayagoz,KZ,80.26,clear sky,47.9714,80.4392,Gostinitsa Nur
624,Sorochinsk,RU,87.94,overcast clouds,52.4338,53.1583,Hotel Skazka
626,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
630,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
634,Dwarka,IN,84.6,moderate rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
638,Aitape,PG,78.17,overcast clouds,-3.1374,142.3475,
639,Kimberley,ZA,80.29,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
640,Latehar,IN,76.62,few clouds,23.75,84.5,Hotel Raj
641,Old Town,CZ,80.53,clear sky,50.087,14.4202,Botanique Hotel Prague
644,Dongsheng,CN,78.64,clear sky,39.8161,109.9776,Crowne Plaza Ordos
645,Buala,SB,79.32,light rain,-8.145,159.5921,Maringe Lagoon Lodge
646,Amapa,BR,85.82,few clouds,1.0,-52.0,
649,Kismayo,SO,78.31,scattered clouds,-0.3582,42.5454,Agan-Hotel
651,Ohrid,MK,82.29,scattered clouds,41.1172,20.8019,Inex Olgica Hotel & Spa
652,Faya,SA,89.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
658,Si Satchanalai,TH,78.24,light rain,17.5169,99.7598,Chanalai Resort and Hotel
661,Planeta Rica,CO,78.04,broken clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
663,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
667,Ha Tinh,VN,79.34,overcast clouds,18.3333,105.9,Phú Quý
668,Santa Cruz De Tenerife,ES,78.4,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
670,Lebork,PL,80.44,scattered clouds,54.5392,17.7501,Vega
671,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
675,Richards Bay,ZA,82.15,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
678,Primorsk,UA,87.22,overcast clouds,46.7348,36.3443,Relax
680,Bull Savanna,JM,79.05,clear sky,17.8868,-77.5902,Big Red's
686,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
